Title,description,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,milestone ,Status,assignee_username,creator
Provider - Biz - Staff - Listing Staffs,Provider - Biz - Staff - Listing Staffs,Feature,Completed,,,,,,,,,,,
Provider - Biz - Staff/Business Hours - Add,Provider - Biz - Staff/Business Hours - Add,Feature,Completed,,,,,,,,,,,
Provider - Biz - Staff/Business Hours - Edit/Delete,Provider - Biz - Staff/Business Hours - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Biz - Staff/Business Hours (Blocking) - Add,Provider - Biz - Staff/Business Hours (Blocking) - Add,Feature,Completed,,,,,,,,,,,
Provider - Biz - Staff/Business Hours (Blocking) - Edit/Delete,Provider - Biz - Staff/Business Hours (Blocking) - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Biz - Branches,Provider - Biz - Branches,Feature,Completed,,,,,,,,,,,
Provider - Biz - Branches - Edit/Delete,Provider - Biz - Branches - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Biz - Service - Add,Provider - Biz - Service - Add,Feature,Completed,,,,,,,,,,,
Provider - Biz - Service - Edit/Delete,Provider - Biz - Service - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Biz - Resources - Add,Provider - Biz - Resources - Add,Feature,Completed,,,,,,,,,,,
Provider - Biz - Terms & Conditions - Edit/Delete,Provider - Biz - Terms & Conditions - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Biz - Refund Policy - Add/Edit,Provider - Biz - Refund Policy - Add/Edit,Feature,Completed,,,,,,,,,,,
Provider Settings - Meeting Rules - Edit/Delete,Provider Settings - Meeting Rules - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider Settings - Booking Rules - Edit/Delete,Provider Settings - Booking Rules - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider Settings - Payment & Gateway details - Edit/Delete,Provider Settings - Payment & Gateway details - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider Settings - Look & Feel - Edit/Delete,Provider Settings - Look & Feel - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider Settings - Tax - Edit/Delete,Provider Settings - Tax - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Add new customer,Provider - Add new customer,Feature,Completed,,,,,,,,,,,
Provider - List customers with navigation / Edit,Provider - List customers with navigation / Edit,Feature,Completed,,,,,,,,,,,
Staff - Add new customer,Staff - Add new customer,Feature,Completed,,,,,,,,,,,
Staff - List customers with navigation / Edit,Staff - List customers with navigation / Edit,Feature,Completed,,,,,,,,,,,
Staff - List customers with navigation,Staff - List customers with navigation,Feature,Completed,,,,,,,,,,,
Provider - Gift Certificate - Add,Provider - Gift Certificate - Add,Feature,Completed,,,,,,,,,,,
Provider - Gift Certificate - Listing with navigation,Provider - Gift Certificate - Listing with navigation,Feature,Completed,,,,,,,,,,,
Provider - Gift Certificate - Edit/Delete,Provider - Gift Certificate - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Discount Coupon - Add,Provider - Discount Coupon - Add,Feature,Completed,,,,,,,,,,,
Provider - Discount Coupon - Listing with navigation,Provider - Discount Coupon - Listing with navigation,Feature,Completed,,,,,,,,,,,
Provider - Discount Coupon - Edit/Delete,Provider - Discount Coupon - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Discount Offer - Add,Provider - Discount Offer - Add,Feature,Completed,,,,,,,,,,,
Provider - Discount Offer - Listing with navigation,Provider - Discount Offer - Listing with navigation,Feature,Completed,,,,,,,,,,,
Provider - Discount Offer - Edit/Delete,Provider - Discount Offer - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - My contacts - A-Z listing,Provider - My contacts - A-Z listing,Feature,Completed,,,,,,,,,,,
Provider - My contacts - Manage (Add/Edit/Delete),Provider - My contacts - Manage (Add/Edit/Delete),Feature,Completed,,,,,,,,,,,
Provider - Promotion - Gift Certificate - Add,Provider - Promotion - Gift Certificate - Add,Feature,Completed,,,,,,,,,,,
Provider - Promotion - Gift Certificate - Listing with navigation,Provider - Promotion - Gift Certificate - Listing with navigation,Feature,Completed,,,,,,,,,,,
Provider - Promotion - Gift Certificate - Edit/Delete,Provider - Promotion - Gift Certificate - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Promotion - Discount Coupon - Add,Provider - Promotion - Discount Coupon - Add,Feature,Completed,,,,,,,,,,,
Provider - Promotion - Discount Coupon - Listing with navigation,Provider - Promotion - Discount Coupon - Listing with navigation,Feature,Completed,,,,,,,,,,,
Provider - Promotion - Discount Coupon - Edit/Delete,Provider - Promotion - Discount Coupon - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Promotion - Discount Offer - Add,Provider - Promotion - Discount Offer - Add,Feature,Completed,,,,,,,,,,,
Provider - Promotion - Discount Offer - Listing with navigation,Provider - Promotion - Discount Offer - Listing with navigation,Feature,Completed,,,,,,,,,,,
Provider - Promotion - Discount Offer - Edit/Delete,Provider - Promotion - Discount Offer - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Newsletter - Create New campaign,Provider - Newsletter - Create New campaign,Feature,Completed,,,,,,,,,,,
Provider - Newsletter - Manage campaign - List,Provider - Newsletter - Manage campaign - List,Feature,Completed,,,,,,,,,,,
Provider - Newsletter - Campaign Details - Edit,Provider - Newsletter - Campaign Details - Edit,Feature,Completed,,,,,,,,,,,
Provider - Newsletter - Templates,Provider - Newsletter - Templates,Feature,Completed,,,,,,,,,,,
Provider - Calendar - Today's View,Provider - Calendar - Today's View,Feature,Completed,,,,,,,,,,,
